  0.04000000,  4.18150000
  0.20010000,  4.13460000
  0.37340000,  4.11900000
  0.60020000,  4.08770000
  0.82690000,  4.05640000
  1.08030000,  4.04070000
  1.46710000,  4.00160000
  1.80050000,  3.97810000
  1.98730000,  3.95470000
  2.22730000,  3.93900000
  2.62750000,  3.89990000
  3.01420000,  3.86860000
  3.48110000,  3.84510000
  4.05460000,  3.81380000
  4.53470000,  3.79030000
  5.10820000,  3.77470000
  5.60170000,  3.72780000
  6.02850000,  3.72780000
  6.52200000,  3.71210000
  6.86870000,  3.68860000
  7.10880000,  3.66520000
  7.25550000,  3.61040000
  7.33550000,  3.55560000
  7.44220000,  3.52430000
  7.49560000,  3.44610000
  7.56230000,  3.37570000
  7.60230000,  3.30530000
  7.64230000,  3.21920000
  7.68230000,  3.14880000
  7.69570000,  3.04710000
